experiment,setup,control,sample,purpose,model_rank,model,accuracy_percent,macro_precision_percent,macro_recall_percent,macro_f1_percent,weighted_f1_percent,results_file
Baseline random split,Random train/test split,No prompt or length control,Balanced Human vs AI sample,Initial baseline,1,SGD Linear Classifier,79.5,79.51,79.5,79.5,79.5,classification_results.csv
Baseline random split,Random train/test split,No prompt or length control,Balanced Human vs AI sample,Initial baseline,2,Linear SVM,79.4,79.4,79.4,79.39,79.39,classification_results.csv
Baseline random split,Random train/test split,No prompt or length control,Balanced Human vs AI sample,Initial baseline,3,Logistic Regression,79.38,79.4,79.38,79.37,79.37,classification_results.csv
Baseline random split,Random train/test split,No prompt or length control,Balanced Human vs AI sample,Initial baseline,4,Multinomial Naive Bayes,73.12,74.78,73.12,72.67,72.67,classification_results.csv
Baseline random split,Random train/test split,No prompt or length control,Balanced Human vs AI sample,Initial baseline,5,Complement Naive Bayes,73.12,74.78,73.12,72.67,72.67,classification_results.csv
Prompt matched,Human and AI texts use the same prompts,Controls prompt/topic differences,"4,000 rows; 2,000 Human and 2,000 AI; 171 shared prompts",Check whether the model is only learning topic differences,1,SGD Linear Classifier,98.88,98.88,98.88,98.87,98.87,prompt_matched_classification_results.csv
Prompt matched,Human and AI texts use the same prompts,Controls prompt/topic differences,"4,000 rows; 2,000 Human and 2,000 AI; 171 shared prompts",Check whether the model is only learning topic differences,2,Linear SVM,98.75,98.75,98.75,98.75,98.75,prompt_matched_classification_results.csv
Prompt matched,Human and AI texts use the same prompts,Controls prompt/topic differences,"4,000 rows; 2,000 Human and 2,000 AI; 171 shared prompts",Check whether the model is only learning topic differences,3,Logistic Regression,96.5,96.5,96.5,96.5,96.5,prompt_matched_classification_results.csv
Prompt matched,Human and AI texts use the same prompts,Controls prompt/topic differences,"4,000 rows; 2,000 Human and 2,000 AI; 171 shared prompts",Check whether the model is only learning topic differences,4,Multinomial Naive Bayes,91.5,91.65,91.5,91.49,91.49,prompt_matched_classification_results.csv
Prompt matched,Human and AI texts use the same prompts,Controls prompt/topic differences,"4,000 rows; 2,000 Human and 2,000 AI; 171 shared prompts",Check whether the model is only learning topic differences,5,Complement Naive Bayes,91.5,91.65,91.5,91.49,91.49,prompt_matched_classification_results.csv
Word-count matched,Human and AI texts have similar word counts,Controls text length differences,"4,000 rows; 65 word-count bins; Human mean 786.51, AI mean 786.73",Check whether the model is relying on text length,1,Linear SVM,93.88,93.88,93.88,93.87,93.87,word_count_matched_classification_results.csv
Word-count matched,Human and AI texts have similar word counts,Controls text length differences,"4,000 rows; 65 word-count bins; Human mean 786.51, AI mean 786.73",Check whether the model is relying on text length,2,SGD Linear Classifier,93.25,93.25,93.25,93.25,93.25,word_count_matched_classification_results.csv
Word-count matched,Human and AI texts have similar word counts,Controls text length differences,"4,000 rows; 65 word-count bins; Human mean 786.51, AI mean 786.73",Check whether the model is relying on text length,3,Logistic Regression,92.12,92.13,92.12,92.12,92.12,word_count_matched_classification_results.csv
Word-count matched,Human and AI texts have similar word counts,Controls text length differences,"4,000 rows; 65 word-count bins; Human mean 786.51, AI mean 786.73",Check whether the model is relying on text length,4,Multinomial Naive Bayes,84.62,87.19,84.62,84.36,84.36,word_count_matched_classification_results.csv
Word-count matched,Human and AI texts have similar word counts,Controls text length differences,"4,000 rows; 65 word-count bins; Human mean 786.51, AI mean 786.73",Check whether the model is relying on text length,5,Complement Naive Bayes,84.62,87.19,84.62,84.36,84.36,word_count_matched_classification_results.csv
Prompt + word-count matched,Same prompts and similar word-count ranges,Controls both topic and length,"4,000 rows; 45 prompts; 41 word-count bins; Human mean 447.90, AI mean 447.89",Stronger controlled comparison,1,Linear SVM,95.25,95.25,95.25,95.25,95.25,prompt_and_word_count_matched_classification_results.csv
Prompt + word-count matched,Same prompts and similar word-count ranges,Controls both topic and length,"4,000 rows; 45 prompts; 41 word-count bins; Human mean 447.90, AI mean 447.89",Stronger controlled comparison,2,SGD Linear Classifier,94.25,94.26,94.25,94.25,94.25,prompt_and_word_count_matched_classification_results.csv
Prompt + word-count matched,Same prompts and similar word-count ranges,Controls both topic and length,"4,000 rows; 45 prompts; 41 word-count bins; Human mean 447.90, AI mean 447.89",Stronger controlled comparison,3,Logistic Regression,91.12,91.13,91.12,91.12,91.12,prompt_and_word_count_matched_classification_results.csv
Prompt + word-count matched,Same prompts and similar word-count ranges,Controls both topic and length,"4,000 rows; 45 prompts; 41 word-count bins; Human mean 447.90, AI mean 447.89",Stronger controlled comparison,4,Multinomial Naive Bayes,88.0,88.31,88.0,87.98,87.98,prompt_and_word_count_matched_classification_results.csv
Prompt + word-count matched,Same prompts and similar word-count ranges,Controls both topic and length,"4,000 rows; 45 prompts; 41 word-count bins; Human mean 447.90, AI mean 447.89",Stronger controlled comparison,5,Complement Naive Bayes,88.0,88.31,88.0,87.98,87.98,prompt_and_word_count_matched_classification_results.csv
Unseen-prompt test,Train prompts and test prompts do not overlap,Tests generalization to new writing tasks,"3,200 train rows from 91 prompts; 800 test rows from 80 unseen prompts",Check whether performance holds on prompts not seen during training,1,SGD Linear Classifier,93.12,93.78,93.12,93.1,93.1,unseen_prompt_classification_results.csv
Unseen-prompt test,Train prompts and test prompts do not overlap,Tests generalization to new writing tasks,"3,200 train rows from 91 prompts; 800 test rows from 80 unseen prompts",Check whether performance holds on prompts not seen during training,2,Linear SVM,92.5,93.23,92.5,92.47,92.47,unseen_prompt_classification_results.csv
