document_number,source_model,windows,predicted_boundaries,true_boundaries,matched_boundaries,mean_matched_distance_chars
1,gpt-4-0125-preview,5,0,19,0,
2,yagpt,2,1,1,0,
4,o1-preview-2024-09-12,9,0,9,0,
5,gpt-4-0125-preview,4,1,12,1,202.0
8,gpt-4-0125-preview,6,0,23,0,
9,gpt-4-0125-preview,2,0,6,0,
11,gpt-4-1106-preview,2,0,2,0,
12,gpt-4-1106-preview,5,1,12,1,47.0
14,o1-mini-2024-09-12,6,0,14,0,
16,o1-preview-2024-09-12,13,0,6,0,
18,gigachat,2,0,1,0,
22,gpt-4-0125-preview,6,0,25,0,
25,gpt-4-1106-preview,2,0,6,0,
27,gpt-4-1106-preview,2,0,6,0,
30,gpt-4-0125-preview,2,0,2,0,
31,gpt-4-0125-preview,2,0,6,0,
33,o1-preview-2024-09-12,10,0,6,0,
36,gpt-4-0125-preview,4,1,4,1,12.0
37,gpt-4o-2024-08-06,2,0,1,0,
42,gpt-4-1106-preview,2,0,3,0,
44,o1-mini-2024-09-12,5,1,5,0,
47,gpt-4o-2024-08-06,9,3,24,3,117.0
48,gpt-4-0125-preview,2,1,10,1,10.0
50,gpt-4-0125-preview,2,0,8,0,
53,gpt-4-0125-preview,2,1,6,1,132.0
61,o1-mini-2024-09-12,3,0,10,0,
62,o1-mini-2024-09-12,2,1,4,1,25.0
64,gpt-4-1106-preview,2,1,4,1,162.0
68,o1-mini-2024-09-12,9,4,10,4,101.75
69,o1-mini-2024-09-12,3,2,7,1,8.0
70,gpt-4o-2024-08-06,4,1,8,1,55.0
71,gpt-4-1106-preview,2,0,2,0,
76,gpt-4o-2024-08-06,3,1,8,1,284.0
79,gpt-4-0125-preview,6,3,32,3,39.0
81,gpt-4o-2024-08-06,7,3,12,3,138.0
84,gpt-3.5,2,0,4,0,
87,gpt-3.5,3,0,5,0,
88,gigachat,2,1,1,1,467.0
91,gpt-4-0125-preview,6,3,18,3,78.0
92,o1-preview-2024-09-12,6,1,1,1,456.0
93,gpt-4-1106-preview,2,0,2,0,
96,yagpt,3,0,1,0,
97,gpt-4-1106-preview,6,3,19,3,84.33
98,ruGPT,2,0,3,0,
100,gpt-4-0125-preview,6,1,16,1,126.0
101,o1-mini-2024-09-12,2,0,4,0,
106,o1-mini-2024-09-12,5,0,8,0,
107,gpt-3.5,3,0,5,0,
108,gpt-4-1106-preview,2,0,3,0,
109,o1-mini-2024-09-12,4,0,8,0,
112,yagpt,3,0,1,0,
114,gpt-4-0125-preview,5,1,18,1,7.0
117,o1-mini-2024-09-12,7,0,21,0,
120,gpt-3.5,2,0,1,0,
123,o1-preview-2024-09-12,2,0,2,0,
124,gpt-4-1106-preview,2,0,4,0,
125,gpt-4-1106-preview,5,0,6,0,
126,gpt-4-1106-preview,5,2,10,2,130.0
127,gpt-4o-2024-08-06,6,1,4,0,
128,gpt-4-1106-preview,6,0,20,0,
129,gpt-4o-2024-08-06,2,0,1,0,
130,gpt-4-1106-preview,5,2,12,2,83.5
134,gpt-4o-2024-08-06,5,1,12,1,190.0
135,gpt-4-1106-preview,8,4,32,4,41.75
136,gpt-3.5,4,0,8,0,
139,gpt-3.5,3,1,8,1,57.0
142,gpt-3.5,4,0,1,0,
143,gpt-4o-2024-08-06,2,1,2,1,316.0
147,gpt-4-1106-preview,2,1,6,1,73.0
148,gpt-4o-2024-08-06,2,1,10,1,20.0
149,gpt-3.5,4,0,7,0,
150,gpt-3.5,2,0,1,0,
151,ruGPT,2,1,2,1,47.0
152,gpt-4-1106-preview,2,0,2,0,
158,gpt-4-0125-preview,7,0,18,0,
161,gpt-3.5,4,0,6,0,
162,gpt-4-0125-preview,2,0,1,0,
166,gpt-4o-2024-08-06,6,3,26,3,40.67
168,gpt-3.5,3,0,6,0,
173,gigachat,2,0,1,0,
175,gpt-4-1106-preview,5,2,17,2,123.5
176,gpt-4-1106-preview,4,1,7,1,101.0
180,o1-mini-2024-09-12,5,0,8,0,
181,o1-mini-2024-09-12,6,0,18,0,
182,o1-preview-2024-09-12,8,3,17,3,92.0
183,gpt-3.5,3,0,1,0,
184,gpt-4-1106-preview,2,0,2,0,
185,gpt-4-1106-preview,7,0,20,0,
189,gpt-3.5,2,0,6,0,
192,gpt-4-1106-preview,2,1,6,1,86.0
193,gpt-4o-2024-08-06,5,1,25,1,45.0
198,gpt-4o-2024-08-06,13,0,20,0,
199,gpt-4-0125-preview,2,0,6,0,
201,gpt-4o-2024-08-06,2,0,2,0,
202,o1-mini-2024-09-12,2,1,6,1,19.0
203,gpt-3.5,3,0,9,0,
206,gpt-3.5,2,1,5,1,126.0
208,gpt-4-0125-preview,6,1,20,1,68.0
209,gpt-4o-2024-08-06,2,0,4,0,
210,gpt-4-0125-preview,2,0,1,0,
212,gpt-3.5,4,0,1,0,
217,o1-preview-2024-09-12,4,0,4,0,
219,gpt-3.5,3,0,14,0,
221,gpt-4-0125-preview,5,0,14,0,
225,ruGPT,2,1,1,0,
226,yagpt,3,1,1,0,
231,gpt-4-1106-preview,3,0,6,0,
232,gpt-4o-2024-08-06,3,0,6,0,
233,o1-mini-2024-09-12,2,0,5,0,
235,gpt-4o-2024-08-06,8,0,22,0,
236,gpt-4-0125-preview,6,0,23,0,
237,gpt-4-1106-preview,4,1,10,1,230.0
240,gpt-3.5,2,0,2,0,
241,o1-mini-2024-09-12,4,0,11,0,
242,o1-mini-2024-09-12,7,2,22,2,81.5
244,gpt-4o-2024-08-06,2,1,2,1,28.0
246,o1-mini-2024-09-12,10,1,18,1,53.0
251,gpt-4-1106-preview,2,1,1,0,
253,o1-mini-2024-09-12,4,0,7,0,
255,o1-preview-2024-09-12,9,0,12,0,
259,gpt-4-1106-preview,6,2,24,2,24.0
260,gpt-3.5,4,0,3,0,
263,gpt-4o-2024-08-06,2,0,2,0,
264,gpt-4-1106-preview,7,2,22,2,35.5
265,o1-mini-2024-09-12,2,1,2,1,56.0
270,llama-7b,3,0,6,0,
275,gpt-4-1106-preview,2,1,4,1,75.0
279,gpt-4o-2024-08-06,6,0,14,0,
280,o1-mini-2024-09-12,4,0,6,0,
281,gpt-4-0125-preview,2,0,6,0,
285,gpt-4-1106-preview,6,3,21,3,49.67
286,o1-mini-2024-09-12,3,2,16,2,93.0
287,gpt-4-1106-preview,5,1,22,1,52.0
288,gpt-4-0125-preview,4,1,38,1,42.0
293,o1-mini-2024-09-12,3,0,4,0,
298,o1-mini-2024-09-12,5,3,20,3,94.0
299,gpt-4-1106-preview,3,0,1,0,
300,gpt-3.5,3,0,6,0,
301,gpt-4-0125-preview,3,0,8,0,
302,gpt-4-1106-preview,4,3,12,2,35.5
305,gpt-4o-2024-08-06,3,1,6,1,20.0
307,yagpt,2,1,1,0,
308,gpt-4o-2024-08-06,4,0,12,0,
310,gpt-4o-2024-08-06,4,0,10,0,
311,o1-mini-2024-09-12,2,1,8,1,20.0
314,gpt-4-1106-preview,7,3,21,3,26.67
315,gpt-3.5,2,0,1,0,
318,gpt-4-1106-preview,2,0,2,0,
320,gpt-4-0125-preview,4,0,8,0,
324,gpt-3.5,4,2,7,2,306.5
